EE623A,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
ME642,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
ME665,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
ME665A,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
EE661A,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
MTH679,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
EE623,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
ME622A,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
CS644,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
EE661,LEC: M 12:00-13:30 REQ;T 09:00-10:30 REQ;
PHY642,LEC: M 12:30-13:30 REQ;T 09:00-10:30 REQ;
AE698,LEC: M 14:00-15:30 LH(NWTF);W 14:00-15:30
MTH751A,LEC: M 15:00-16:00 REQ;TW 16:00-17:00 REQ;
MTH751,LEC: M 15:00-16:00 REQ;TW 16:00-17:00 REQ;
MTH755,LEC: M 15:00-16:00 REQ;TW 16:00-17:00 REQ;
MTH205,LEC: M 15:00-16:00 REQ;TW 16:00-17:00 REQ;TUT: F
MTH205A,LEC: M 15:00-16:00 REQ;TW 16:00-17:00 REQ;TUT: F
AE612,LEC: M 15:30-17:00 LH(NWTF);W 15:30-17:00
EE311A,LEC: MF 12:00-13:00 REQ;T 09:00-10:00 REQ;
MTH622,LEC: MF 16:00-17:00 REQ;W 14:00-15:00 REQ;
MTH622A,LEC: MF 16:00-17:00 REQ;W 14:00-15:00 REQ;
PHY690H,LEC: MF 16:00-17:00 REQ;W 14:00-15:00 REQ;
MTH516A,LEC: MF 16:00-17:00 REQ;W 14:00-15:00 REQ;TUT:
MTH516,LEC: MF 16:00-17:00 REQ;W 14:00-15:00 REQ;TUT:
BSE216,LEC: MTF 10:00-11:00 BSBH;
BSE221A,LEC: MTF 10:00-11:00 BSBH;
MTH421,LEC: MTF 10:00-11:00 L8;TUT: W 10:00-11:00 L8;
MTH421A,LEC: MTF 10:00-11:00 L8;TUT: W 10:00-11:00 L8;
MTH514A,LEC: MTF 14:00-15:00 REQ;TUT: W 11:00-12:00 REQ;
MTH404,LEC: MTF 14:00-15:00 REQ;TUT: W 11:00-12:00 REQ;
MTH404A,LEC: MTF 14:00-15:00 REQ;TUT: W 11:00-12:00 REQ;
MTH514,LEC: MTF 14:00-15:00 REQ;TUT: W 11:00-12:00 REQ;
MBA616A,LEC: MTh 09:00-10:30 C1;
MBA634,LEC: MTh 09:00-10:30 C2;
MBA634A,LEC: MTh 09:00-10:30 C2;
IME625A,LEC: MTh 09:00-10:30 C3;
IME625,LEC: MTh 09:00-10:30 C3;
AE678,LEC: MTh 11:00-12:00 AE04;F 10:00-11:00 AE04;
PSO201A,LEC: MTh 12:00-13:00 L2;TUT: W 12:00-13:00
ME751A,LEC: MTh 17:00-18:30 REQ;
ME751,LEC: MTh 17:00-18:30 REQ;
ESO204,LEC: MThF 08:00-09:00 L16;TUT: W 08:00-09:00
ESO202A,LEC: MThF 08:00-09:00 L16;TUT: W 08:00-09:00
ESO209,LEC: MThF 08:00-09:00 L7;TUT: W 08:00-09:00
MSO201A,LEC: MThF 08:00-09:00 L7;TUT: W 08:00-09:00
EE622,LEC: MThF 10:00-11:00 REQ;
AE341A,LEC: MW 08:00-09:00 AE04;F 11:00-12:00 AE04;
BSE322A,LEC: MW 08:00-09:00 BSBH;Th 14:00-15:00 BSBH;
BSE322,LEC: MW 08:00-09:00 BSBH;Th 14:00-15:00 BSBH;
BSE653,LEC: MW 08:00-09:00 BSBH;Th 14:00-15:00 BSBH;
BSE633,LEC: MW 08:00-09:00 BSBH;Th 14:00-15:00 BSBH;
ECO342A,LEC: MW 08:00-09:00 FB657;Th 14:00-15:00 FB657;
CS335A,LEC: MW 08:00-09:00 HRKD101;Th 14:00-15:00
CHE381A,LEC: MW 08:00-09:00 L13;Th 14:00-15:00 L13;
EE340A,LEC: MW 08:00-09:00 L2;Th 10:00-11:00 L2;TUT: F
ME354A,LEC: MW 08:00-09:00 L6;F 11:00-12:00 L6;
EE640,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
EE640A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
EE665,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
MSE650A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
ME762,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
EE665A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
ME639,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
ME762A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
EE629,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
MSE650,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
ME639A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
EE629A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;
MTH416A,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;TUT:
PHY553,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;TUT:
MTH416,LEC: MW 08:00-09:00 REQ;Th 14:00-15:00 REQ;TUT:
CHM342A,LEC: MW 08:00-09:00 T206;Th 14:00-15:00 T206;
CHM442,LEC: MW 08:00-09:00 T206;Th 14:00-15:00 T206;
MTH424,LEC: MW 08:00-09:00 WL221;Th 14:00-15:00
MTH424A,LEC: MW 08:00-09:00 WL221;Th 14:00-15:00
CHM201N,LEC: MW 09:00-10:00 L7;F 09:00-10:00
CHM102A,LEC: MW 09:00-10:00 L7;F 09:00-10:00
AE690,LEC: MW 10:00-11:00 AE01;F 12:00-13:00 AE01;
AE675,LEC: MW 10:00-11:00 AE04;F 12:00-13:00 AE04;
MSE480,LEC: MW 10:00-11:00 REQ;
ME600,LEC: MW 10:00-11:00 REQ;
CS698B,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ME778,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
CHM689,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ART411,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
MSE653A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ECO424,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ENG432,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ART701A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ME691,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ART701,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ENG432A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
CHM689A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ART402,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ME663,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
MSE653,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ME778A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ME691A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ECO424A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ART402A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
ART411A,LEC: MW 10:00-11:00 REQ;F 12:00-13:00 REQ;
PHY412A,LEC: MW 10:00-11:00 REQ;Th 14:00-15:00 REQ;TUT:
